id,name,size,price,rating,img,url,subB
prod6315826,Clariti 1 Day Toric 30 pack,1.0 Box ,$43.99,4.5,//pics.drugstore.com/prodimg/566640/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-toric-30-pk-clariti-1-day-toric-30-pack/ID=prod6315826-product,Clariti 1 Day Toric 30 Pk
prod6288651,1-Day Acuvue  Define Accent 30 pack,1.0 Box ,$45.99,0.0,//pics.drugstore.com/prodimg/548864/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-define-30pk-1-day-acuvue--define-accent-30-pack/ID=prod6288651-product,1-Day Acuvue Define 30Pk
prod2301409,Freshlook Handling Tint,1.0 Box ,$38.99,4.6,//pics.drugstore.com/prodimg/90785/155.jpg,https://www.walgreens.com/store/c/freshlook-handling-tint-freshlook-handling-tint/ID=prod2301409-product,FreshLook Handling Tint
prod6258365,Biofinity XR,1.0 Box ,$61.49,4.8,//pics.drugstore.com/prodimg/502687/155.jpg,https://www.walgreens.com/store/c/biofinity-xr-biofinity-xr/ID=prod6258365-product,Biofinity XR
prod6404800,Biotrue ONEday for Astigmatism 30 pack,1.0 Box ,$34.49,5.0,//pics.drugstore.com/prodimg/612175/155.jpg,https://www.walgreens.com/store/c/biotrue-oneday-for-astigmatism-30-pack-biotrue-oneday-for-astigmatism-30-pack/ID=prod6404800-product,Biotrue ONEday for Astigmatism 30 pack
prod2301346,Silsoft Super Plus (Pediatric),1.0 Vial ,$185.99,5.0,//pics.drugstore.com/prodimg/613948/155.jpg,https://www.walgreens.com/store/c/silsoft-super-plus-silsoft-super-plus-(pediatric)/ID=prod2301346-product,Silsoft Super Plus
prod2301345,Silsoft Aphakic (Adult),1.0 Vial ,$185.99,5.0,//pics.drugstore.com/prodimg/613947/155.jpg,https://www.walgreens.com/store/c/silsoft-aphakic-silsoft-aphakic-(adult)/ID=prod2301345-product,Silsoft Aphakic
prod6315824,Clariti 1 Day Multifocal 30 pack,1.0 Box ,$44.99,4.0,//pics.drugstore.com/prodimg/566641/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-multifocal-30-pk-clariti-1-day-multifocal-30-pack/ID=prod6315824-product,Clariti 1 Day Multifocal 30 Pk
prod6281405,SofLens Daily Disposable for Astigmatism 30 pack,1.0 Box ,$32.99,5.0,//pics.drugstore.com/prodimg/392467/155.jpg,https://www.walgreens.com/store/c/soflens-daily-disposable-astigmatism-30-soflens-daily-disposable-for-astigmatism-30-pack/ID=prod6281405-product,SofLens Daily Disposable Astigmatism 30
prod3898681,Proclear Multifocal XR,1.0 Box ,$157.99,4.2,//pics.drugstore.com/prodimg/213736/155.jpg,https://www.walgreens.com/store/c/proclear-multifocal-xr-proclear-multifocal-xr/ID=prod3898681-product,Proclear Multifocal XR
prod2301338,Optima 38/ SP,1.0 Box ,$50.99,4.3,//pics.drugstore.com/prodimg/90766/155.jpg,https://www.walgreens.com/store/c/optima-38/sp-optima-38/sp/ID=prod2301338-product,Optima 38/SP
300391708,MyDay Daily Disposable 180 pack,1.0 Box ,$147.99,4.7,//pics.drugstore.com/prodimg/612693/155.jpg,https://www.walgreens.com/store/c/myday-daily-180-pk-myday-daily-disposable-180-pack/ID=300391708-product,MyDay Daily 180 Pk
prod2301394,Acuvue Oasys 6 pack,1.0 Box ,$36.00,4.7,//pics.drugstore.com/prodimg/147247/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-acuvue-oasys-6-pack/ID=prod2301394-product,Acuvue Oasys
300395774,Dailies Colors 30 pack,1.0 Box ,$34.99,3.8,//pics.drugstore.com/prodimg/616906/155.jpg,https://www.walgreens.com/store/c/dailies-colors-30pk-dailies-colors-30-pack/ID=300395774-product,Dailies Colors 30pk
300395786,Air Optix plus HydraGlyde for Astigmatism 6 pack,1.0 Box ,$64.99,4.6,//pics.drugstore.com/prodimg/616911/155.jpg,https://www.walgreens.com/store/c/air-optix-plus-hydraglyde-for-astig-air-optix-plus-hydraglyde-for-astigmatism-6-pack/ID=300395786-product,Air Optix plus HydraGlyde for Astig
300391709,MyDay Daily Disposable Toric 90 pack,1.0 Box ,$99.99,4.3,//pics.drugstore.com/prodimg/612694/155.jpg,https://www.walgreens.com/store/c/myday-toric-90-pk-myday-daily-disposable-toric-90-pack/ID=300391709-product,MyDay Toric 90 Pk
300395295,Bausch + Lomb ULTRA Multifocal for Astigmatism 6 pack,1.0 Box ,$130.99,3.8,//pics.drugstore.com/prodimg/616378/155.jpg,https://www.walgreens.com/store/c/bausch---lomb-ultra-multifocal-for-astig-bausch---lomb-ultra-multifocal-for-astigmatism-6-pack/ID=300395295-product,Bausch + Lomb ULTRA Multifocal for Astig
300397240,Dailies Colors 90 pack,1.0 Box ,$74.99,4.0,//pics.drugstore.com/prodimg/618342/155.jpg,https://www.walgreens.com/store/c/dailies-colors-90pk-dailies-colors-90-pack/ID=300397240-product,Dailies Colors 90pk
300397761,Precision1 One-Day 90 pack,1.0 Box ,$199.90,3.0,//pics.drugstore.com/prodimg/618810/155.jpg,https://www.walgreens.com/store/c/alcon-precision1-one-day-90-pack-precision1-one-day-90-pack/ID=300397761-product,Alcon Precision1 One-Day 90 pack
300397052,Acuvue Oasys with Transitions 6 pack,1.0 Box ,$57.99,4.5,//pics.drugstore.com/prodimg/618139/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-with-transitions-acuvue-oasys-with-transitions-6-pack/ID=300397052-product,Acuvue Oasys with Transitions
300332616,1-Day Acuvue  Define Natural Shine 30 pack,1.0 Box ,$41.99,0.0,//pics.drugstore.com/prodimg/548870/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-define-30pk-1-day-acuvue--define-natural-shine-30-pack/ID=300332616-product,1-Day Acuvue Define 30Pk
300399476,Clariti 1 Day 30 pack,1.0 Box ,$28.99,5.0,//pics.drugstore.com/prodimg/620819/155.jpg,https://www.walgreens.com/store/c/clariti-1-day-30-pk-clariti-1-day-30-pack/ID=300399476-product,Clariti 1 Day 30 Pk
300401543,Acuvue Oasys with Transitions Annual Supply Pack,1.0 Box ,$182.99,0.0,//pics.drugstore.com/prodimg/623002/155.jpg,https://www.walgreens.com/store/c/acuvue-oasys-w-transitions-annual-acuvue-oasys-with-transitions-annual-supply-pack/ID=300401543-product,Acuvue Oasys w Transitions Annual
300365712,1-Day Acuvue TruEye NAR A 30 pack,1.0 Box ,$51.75,1.0,//pics.drugstore.com/prodimg/583974/155.jpg,https://www.walgreens.com/store/c/1-day-acuvue-trueye-nar-a-30pk-1-day-acuvue-trueye-nar-a-30-pack/ID=300365712-product,1-Day Acuvue TruEye NAR A 30pk
300397760,Precision1 One-Day 30 pack,1.0 Box ,$99.99,0.0,//pics.drugstore.com/prodimg/618809/155.jpg,https://www.walgreens.com/store/c/alcon-precision1-one-day-30-pack-precision1-one-day-30-pack/ID=300397760-product,Alcon Precision1 One-Day 30 pack
prod2301361,Focus Dailies 30 pack,1.0 Box ,$32.99,4.5,//pics.drugstore.com/prodimg/614568/155.jpg,https://www.walgreens.com/store/c/focus-dailies-aqua-release-30-pk-focus-dailies-30-pack/ID=prod2301361-product,Focus Dailies Aqua Release 30 Pk
